strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,71.375
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,82.83928571428571
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,92.36842105263158
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,111.30357142857143
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,111.30357142857143
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,86.66071428571429
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,89
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,104.10526315789474
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,89
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,92.16071428571429
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,82.14285714285714
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,109.29824561403508
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,121.14285714285714
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,84.98214285714286
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,88.5
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,87.23214285714286
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,80.84210526315789
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,101.77659574468085
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,131.69642857142858
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,84.29824561403508
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,90.12280701754386
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,75.17857142857143
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,91.32142857142857
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,84.62711864406779
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,83.2280701754386
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,98.23214285714286
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,87.91071428571429
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,83.2280701754386
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,139
pcc9511,dilution_0.txt,A,e440,323.74074074074076,3.0893574146768126,NA,93.85714285714286
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,58.25
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.142857142857146
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,62.98245614035088
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,67.91071428571429
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,67.91071428571429
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.75
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,60.92857142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,76.17543859649123
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,60.92857142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,65.05357142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,64.80357142857143
