file,strain,wavelength,fn1,fn2,dilution,blanc
dilution_0.txt,pcc9511.csv,e440,323.74074074074076,3.0893574146768126,NA,77.10714285714286
dilution_0.txt,pcc9511.csv,e470,193.8783068783069,2.327222180097455,NA,59.69642857142857
dilution_0.txt,pcc9511.csv,e532,65.08994708994709,1.646193060649426,NA,65.4375
dilution_0.txt,rcc76.csv,e440,777.7439024390244,40.37259523348083,NA,111.59482758620689
dilution_0.txt,rcc76.csv,e470,745.6219512195122,29.957417380674467,NA,71.23275862068965
dilution_0.txt,rcc76.csv,e532,174.9237804878049,9.046447342322606,NA,80.11206896551724
dilution_0bis.txt,pcc9511.csv,e440,238,2.27769154801057,NA,77.10714285714286
dilution_0bis.txt,pcc9511.csv,e470,152.50602409638554,2.1341295520353007,NA,59.69642857142857
dilution_0bis.txt,pcc9511.csv,e532,69.24096385542168,1.713337069533359,NA,65.4375
dilution_1.txt,pcc9511.csv,e440,221.4931880108992,98.87589136569508,NA,77.10714285714286
dilution_1.txt,pcc9511.csv,e470,141.1307901907357,58.96103469424049,NA,59.69642857142857
dilution_1.txt,pcc9511.csv,e532,71.84468664850137,5.677139263374665,NA,65.4375
dilution_1.txt,rcc100.csv,e440,1131.5028901734104,20.63390323320285,NA,111.30357142857143
dilution_1.txt,rcc100.csv,e470,1496.121387283237,22.765146366416346,NA,67.91071428571429
dilution_1.txt,rcc100.csv,e532,162.54624277456648,6.981914549024159,NA,69.51785714285714
dilution_1.txt,rcc1717.csv,e440,366.7868338557994,107.63260805477846,NA,87.15178571428571
dilution_1.txt,rcc1717.csv,e470,387.4012539184953,120.88981728396745,NA,64.92857142857143
dilution_1.txt,rcc1717.csv,e532,104.64890282131661,16.560037249296073,NA,76.61607142857143
dilution_1.txt,rcc2319.csv,e440,198.0595238095238,2.2999671462177935,NA,121.14285714285714
dilution_1.txt,rcc2319.csv,e470,286.625,5.570116480361108,NA,68.26785714285714
dilution_1.txt,rcc2319.csv,e532,182.7202380952381,2.303149614454957,NA,68.71428571428571
dilution_1.txt,rcc2374.csv,e440,150.75595238095238,1.95915484592048,NA,87.23214285714286
dilution_1.txt,rcc2374.csv,e470,247.85714285714286,2.35803052472133,NA,58.17857142857143
dilution_1.txt,rcc2374.csv,e532,160.875,2.021404918444441,NA,62.892857142857146
dilution_1.txt,rcc2379.csv,e440,192.9655870445344,11.331302117005354,NA,84.29824561403508
dilution_1.txt,rcc2379.csv,e470,310.2449392712551,17.64107795850031,NA,59.19298245614035
dilution_1.txt,rcc2379.csv,e532,150.3906882591093,3.0298036695214474,NA,71.42105263157895
dilution_1.txt,rcc3006.csv,e440,349.6219512195122,5.6136123861686205,NA,75.17857142857143
dilution_1.txt,rcc3006.csv,e470,437.7987804878049,6.8571577202656275,NA,61.089285714285715
dilution_1.txt,rcc3006.csv,e532,111.63414634146342,2.232015761328959,NA,67.46428571428571
dilution_1.txt,rcc4213.csv,e440,554.8978978978979,64.56780615719724,NA,90.66371681415929
dilution_1.txt,rcc4213.csv,e470,591.4534534534534,82.67683728396183,NA,63.08849557522124
dilution_1.txt,rcc4213.csv,e532,131.5855855855856,4.688749290811012,NA,68.59292035398231
dilution_1.txt,rcc76.csv,e440,318.00882352941176,40.237897776733924,NA,111.59482758620689
dilution_1.txt,rcc76.csv,e470,282.5882352941176,16.809215142022122,NA,71.23275862068965
dilution_1.txt,rcc76.csv,e532,105.92058823529412,14.68598110276918,NA,80.11206896551724
dilution_2.txt,pcc9511.csv,e440,116.28467153284672,29.99034005772789,1,77.10714285714286
dilution_2.txt,pcc9511.csv,e470,81.64598540145985,14.546711495241599,1,59.69642857142857
dilution_2.txt,pcc9511.csv,e532,65.31021897810218,2.2955853370731023,1,65.4375
dilution_2.txt,rcc100.csv,e440,302.0888888888889,7.646137010404832,1,111.30357142857143
